Customer ID,Transaction ID,Category,Merchant,Amount,Date,Payment Method
cust_1,t_1,loan EMI Payment,consumer durable loan,1058.09,2022-04-18,upi
cust_1,t_2,entertainment,zee5,3029.55,"May 08, 2023",cash
cust_1,t_3,loan EMI Payment,two wheeler loan,2056.21,2025-02-03,credit card
cust_1,t_4,salary,miscellaneous,57059.18,"Sep 29, 2022",debit card
cust_1,t_5,health,hospital,3158.04,06/02/2024,credit card
cust_1,t_6,insurance,life insurance,4615.11,"Sep 15, 2023",debit card
cust_1,t_7,cash Withdrawals,miscellaneous,2511.44,"Dec 27, 2024",upi
cust_1,t_8,health,hospital,1668.09,2025-02-06,cash
cust_1,t_9,groceries,local store,1727.5,"Jul 17, 2022",cash
cust_1,t_10,transfers,miscellaneous,686.81,2024-01-23,upi
cust_1,t_11,cash Withdrawals,miscellaneous,1723.41,"Sep 05, 2024",credit card
cust_1,t_12,health,yoga,2582.21,"Apr 02, 2024",debit card
cust_1,t_13,entertainment,netflix,1613.67,2024-09-21,debit card
cust_1,t_14,cash Withdrawals,miscellaneous,3968.07,"Mar 19, 2022",debit card
cust_1,t_15,transfers,miscellaneous,3304.73,"Apr 26, 2024",cash
cust_1,t_16,transfers,miscellaneous,589.68,21/12/2023,debit card
cust_1,t_17,insurance,health insurance,4737.67,2024-08-01,cash
cust_1,t_18,shopping,snapdeal,4760.91,19/09/2023,credit card
cust_1,t_19,cash Withdrawals,miscellaneous,4272.86,15/10/2024,cash
cust_1,t_20,transport,auto,4954.06,"Jun 16, 2024",credit card
cust_1,t_21,food and dining,cafes,1528.34,"Dec 24, 2023",upi
cust_1,t_22,utilities,telephone,3558.23,22/10/2023,cash
cust_1,t_23,transfers,miscellaneous,4997.14,"Nov 18, 2022",cash
cust_1,t_24,insurance,health insurance,2866.3,"May 18, 2022",debit card
cust_1,t_25,transfers,miscellaneous,379.59,2022-08-03,credit card
cust_1,t_26,insurance,life insurance,499.18,2022-08-30,cash
cust_1,t_27,groceries,more,3346.84,24/09/2023,credit card
cust_1,t_28,food and dining,restaurants,4734.58,14/10/2022,cash
cust_1,t_29,utilities,broadband,3600.9,16/07/2022,cash
cust_1,t_30,groceries,bigbasket,2503.35,"Oct 25, 2022",credit card
cust_1,t_31,salary,miscellaneous,37233.97,24/04/2024,cash
cust_1,t_32,insurance,vehicle insurance,4012.71,29/03/2024,debit card
cust_1,t_33,transfers,miscellaneous,3232.29,05/09/2022,cash
cust_1,t_34,entertainment,hotstar,2643.34,2023-10-11,cash
cust_1,t_35,cash Withdrawals,miscellaneous,1299.76,"Sep 02, 2024",credit card
cust_1,t_36,cash Withdrawals,miscellaneous,4804.78,15/04/2024,upi
cust_1,t_37,entertainment,sonyliv,1318.5,"Apr 16, 2023",cash
cust_1,t_38,others,others,3597.5,30/07/2024,cash
cust_1,t_39,others,others,3695.8,27/11/2022,cash
cust_1,t_40,entertainment,bookmyshow,981.21,2023-09-26,credit card
cust_1,t_41,health,gym,3460.25,27/05/2022,debit card
cust_1,t_42,loan EMI Payment,two wheeler loan,4888.25,04/05/2022,upi
cust_1,t_43,entertainment,spotify,2057.11,2024-08-05,debit card
cust_1,t_44,entertainment,spotify,4337.68,24/05/2022,cash
cust_1,t_45,utilities,gas,1307.16,"Dec 04, 2022",upi
cust_1,t_46,insurance,health insurance,2276.0,2022-05-24,cash
cust_1,t_47,others,others,773.9,02/11/2022,cash
cust_1,t_48,food and dining,cafes,3360.55,"May 24, 2023",credit card
cust_1,t_49,utilities,electricity,3787.09,2023-04-21,cash
cust_1,t_50,loan EMI Payment,gold loan,271.7,2022-06-17,credit card
cust_1,t_51,transfers,miscellaneous,1019.05,"May 09, 2024",credit card
cust_1,t_52,health,spa,4408.48,13/10/2024,credit card
cust_1,t_53,health,spa,3294.3,2022-07-28,upi
cust_1,t_54,utilities,broadband,3596.7,"Aug 13, 2024",debit card
cust_1,t_55,food and dining,zomato,3012.01,29/11/2024,credit card
cust_1,t_56,insurance,vehicle insurance,1344.8,2024-11-23,credit card
cust_1,t_57,insurance,vehicle insurance,3233.14,08/01/2025,credit card
cust_1,t_58,loan EMI Payment,gold loan,4443.57,"May 23, 2022",credit card
cust_1,t_59,loan EMI Payment,gold loan,1447.08,"Jul 14, 2022",upi
cust_1,t_60,entertainment,bookmyshow,2646.54,12/10/2024,credit card
cust_1,t_61,groceries,bigbasket,1771.11,29/01/2024,upi
cust_1,t_62,insurance,life insurance,3536.69,19/11/2024,credit card
cust_1,t_63,health,yoga,4131.2,17/07/2023,credit card
cust_1,t_64,insurance,life insurance,3874.87,2023-07-15,upi
cust_1,t_65,groceries,local store,1426.88,19/05/2024,upi
cust_2,t_1,health,clinic,4762.57,15/12/2024,debit card
cust_2,t_2,insurance,vehicle insurance,573.97,"Feb 11, 2025",debit card
cust_2,t_3,utilities,electricity,4748.54,31/12/2023,cash
cust_2,t_4,food and dining,cafes,2988.85,"Nov 04, 2022",debit card
cust_2,t_5,insurance,travel insurance,1162.35,02/09/2022,credit card
cust_2,t_6,groceries,grofers,4060.49,"Jun 22, 2022",cash
cust_2,t_7,insurance,travel insurance,2113.93,29/06/2023,cash
cust_2,t_8,health,hospital,3399.46,"May 06, 2022",credit card
cust_2,t_9,transport,flight,3199.16,2024-08-24,upi
cust_2,t_10,loan EMI Payment,gold loan,2686.86,"Apr 10, 2023",credit card
cust_2,t_11,utilities,water,391.45,"Sep 12, 2023",upi
cust_2,t_12,others,others,1445.88,03/12/2022,upi
cust_2,t_13,health,yoga,2349.84,"Dec 27, 2024",credit card
cust_2,t_14,salary,miscellaneous,74914.27,14/09/2024,credit card
cust_2,t_15,transfers,miscellaneous,3787.0,"Jun 07, 2022",upi
cust_2,t_16,others,others,2089.35,"Jun 24, 2024",upi
cust_2,t_17,transfers,miscellaneous,4998.04,2024-12-13,upi
cust_2,t_18,utilities,gas,3248.36,2022-08-13,debit card
cust_2,t_19,shopping,flipkart,3648.01,25/05/2023,upi
cust_2,t_20,utilities,electricity,2032.02,27/03/2024,cash
cust_2,t_21,entertainment,hotstar,348.39,2023-09-02,cash
cust_2,t_22,insurance,life insurance,747.33,"Dec 24, 2023",upi
cust_2,t_23,insurance,life insurance,3778.68,2022-04-23,credit card
cust_2,t_24,transport,flight,3352.49,2024-02-22,debit card
cust_2,t_25,entertainment,sonyliv,2272.3,24/11/2023,upi
cust_2,t_26,transfers,miscellaneous,4765.09,"Sep 09, 2024",debit card
cust_2,t_27,transfers,miscellaneous,1521.73,27/06/2022,upi
cust_2,t_28,utilities,gas,3136.41,"Aug 28, 2023",credit card
cust_2,t_29,others,others,4986.6,"Sep 03, 2022",debit card
cust_2,t_30,cash Withdrawals,miscellaneous,1449.46,2024-11-15,debit card
cust_2,t_31,utilities,electricity,3737.98,01/07/2022,upi
cust_2,t_32,transfers,miscellaneous,3522.19,"Dec 16, 2024",upi
cust_2,t_33,loan EMI Payment,consumer durable loan,3998.73,"Oct 15, 2022",upi
cust_2,t_34,others,others,3308.74,28/07/2024,upi
cust_2,t_35,food and dining,swiggy,603.37,"Jun 10, 2023",upi
cust_2,t_36,insurance,life insurance,3351.19,2022-08-06,debit card
cust_2,t_37,cash Withdrawals,miscellaneous,3808.61,2025-01-24,credit card
cust_2,t_38,food and dining,starbucks,224.27,29/05/2024,cash
cust_2,t_39,others,others,1573.57,2023-12-09,credit card
cust_2,t_40,utilities,telephone,2000.78,07/01/2024,debit card
cust_2,t_41,transfers,miscellaneous,2086.91,2024-08-18,cash
cust_2,t_42,salary,miscellaneous,91528.28,17/04/2022,credit card
cust_2,t_43,insurance,travel insurance,437.54,03/10/2022,upi
cust_2,t_44,health,hospital,2179.76,21/02/2022,cash
cust_2,t_45,salary,miscellaneous,62450.11,01/08/2022,debit card
cust_2,t_46,loan EMI Payment,education loan,3050.3,2022-08-30,debit card
cust_2,t_47,salary,miscellaneous,81501.16,"Sep 01, 2022",debit card
cust_2,t_48,insurance,travel insurance,340.14,16/03/2022,debit card
cust_2,t_49,entertainment,bookmyshow,1466.74,"Jul 27, 2023",credit card
cust_2,t_50,shopping,club factory,2557.07,2022-08-21,upi
cust_2,t_51,health,clinic,1257.08,"May 24, 2024",debit card
cust_2,t_52,transport,bus,1666.62,01/04/2024,credit card
cust_2,t_53,salary,miscellaneous,57067.76,"Mar 27, 2023",cash
cust_2,t_54,others,others,2898.51,"Feb 14, 2025",cash
cust_2,t_55,others,others,125.75,2024-01-27,cash
cust_2,t_56,food and dining,restaurants,1576.4,2023-07-31,credit card
cust_2,t_57,salary,miscellaneous,85052.86,"Oct 10, 2023",cash
cust_2,t_58,utilities,electricity,4985.22,03/07/2022,cash
cust_2,t_59,groceries,bigbasket,3620.71,2022-04-10,upi
cust_2,t_60,cash Withdrawals,miscellaneous,618.03,12/07/2022,credit card
cust_2,t_61,health,yoga,769.8,2023-01-04,debit card
cust_2,t_62,salary,miscellaneous,49990.77,2024-12-28,debit card
cust_2,t_63,others,others,429.12,2023-11-08,credit card
cust_2,t_64,others,others,2569.85,"Dec 16, 2022",upi
cust_2,t_65,transport,ola,1398.04,"Jan 17, 2025",upi
cust_2,t_66,transport,flight,2265.73,31/07/2024,cash
cust_2,t_67,utilities,electricity,705.51,06/11/2023,upi
cust_2,t_68,transport,uber,749.71,"Mar 29, 2023",cash
cust_2,t_69,food and dining,zomato,4765.95,29/08/2024,upi
cust_2,t_70,transfers,miscellaneous,1991.92,16/08/2024,upi
cust_2,t_71,entertainment,tiktok,4947.51,"Nov 14, 2023",cash
cust_2,t_72,health,spa,3104.15,"Jul 11, 2023",upi
cust_2,t_73,shopping,amazon,4124.81,"Oct 29, 2023",cash
cust_2,t_74,loan EMI Payment,personal loan,2043.24,2023-08-11,debit card
cust_2,t_75,health,pharmacy,1825.73,09/05/2022,debit card
cust_2,t_76,health,clinic,344.81,"Dec 03, 2022",upi
cust_2,t_77,insurance,life insurance,649.29,02/06/2024,cash
cust_2,t_78,transfers,miscellaneous,4222.14,"Nov 21, 2022",debit card
cust_2,t_79,groceries,d-mart,884.85,2022-12-06,cash
cust_2,t_80,groceries,bigbasket,4037.99,2022-05-08,upi
cust_2,t_81,food and dining,swiggy,253.98,2024-12-24,upi
cust_2,t_82,utilities,telephone,2281.99,15/02/2023,upi
cust_2,t_83,health,spa,1858.0,29/05/2023,cash
