    Customer ID,Transaction ID,Category,Merchant,Amount,Date,Payment Method
cust_1,t_1,cash Withdrawals,miscellaneous,2293.75,16/04/2022,cash
cust_1,t_2,shopping,jabong,1423.76,"May 06, 2023",credit card
cust_1,t_3,insurance,travel insurance,938.69,"Feb 01, 2025",cash
cust_1,t_4,shopping,myntra,538.85,"Sep 27, 2022",credit card
cust_1,t_5,shopping,jabong,98.69,04/02/2024,cash
cust_1,t_6,food and dining,swiggy,484.21,"Sep 13, 2023",cash
cust_1,t_7,health,spa,4456.41,2024-12-25,credit card
cust_1,t_8,others,others,3763.12,"Feb 04, 2025",debit card
cust_1,t_9,others,others,2699.27,"Jul 15, 2022",upi
cust_1,t_10,utilities,telephone,1685.74,2024-01-21,credit card
cust_1,t_11,loan EMI Payment,home loan,3485.33,2024-09-03,debit card
cust_1,t_12,cash Withdrawals,miscellaneous,4854.01,31/03/2024,cash
cust_1,t_13,salary,miscellaneous,94226.96,"Sep 19, 2024",upi
cust_1,t_14,shopping,aliexpress,4355.02,17/03/2022,credit card
cust_1,t_15,groceries,more,2835.85,24/04/2024,debit card
cust_1,t_16,cash Withdrawals,miscellaneous,2492.32,2023-12-19,credit card
cust_1,t_17,entertainment,zee5,3890.58,30/07/2024,credit card
cust_1,t_18,utilities,broadband,4220.37,2023-09-17,credit card
cust_1,t_19,shopping,club factory,1414.29,13/10/2024,cash
cust_1,t_20,groceries,local store,1052.89,2024-06-14,credit card
cust_1,t_21,food and dining,zomato,380.57,2023-12-22,upi
cust_1,t_22,others,others,173.4,"Oct 20, 2023",debit card
cust_1,t_23,salary,miscellaneous,66611.86,16/11/2022,upi
cust_1,t_24,others,others,810.56,"May 16, 2022",cash
cust_1,t_25,cash Withdrawals,miscellaneous,355.32,"Aug 01, 2022",debit card
cust_1,t_26,transport,bus,4488.81,"Aug 28, 2022",cash
cust_1,t_27,transfers,miscellaneous,3601.37,22/09/2023,cash
cust_1,t_28,food and dining,restaurants,254.35,"Oct 12, 2022",debit card
cust_1,t_29,loan EMI Payment,home loan,1225.27,14/07/2022,debit card
cust_1,t_30,cash Withdrawals,miscellaneous,1028.69,23/10/2022,debit card
cust_1,t_31,utilities,broadband,1409.2,22/04/2024,credit card
cust_1,t_32,food and dining,zomato,4091.2,2024-03-27,debit card
cust_1,t_33,insurance,health insurance,1230.12,2022-09-03,cash
cust_1,t_34,transfers,miscellaneous,2983.71,09/10/2023,debit card
cust_1,t_35,health,hospital,982.42,31/08/2024,debit card
cust_1,t_36,insurance,vehicle insurance,367.77,13/04/2024,debit card
cust_1,t_37,salary,miscellaneous,69202.96,2023-04-14,upi
cust_1,t_38,others,others,3652.21,2024-07-28,cash
cust_1,t_39,others,others,715.33,"Nov 25, 2022",cash
cust_1,t_40,health,spa,2660.41,"Sep 24, 2023",debit card
cust_1,t_41,utilities,telephone,91.92,2022-05-25,credit card
cust_1,t_42,food and dining,starbucks,4651.38,"May 02, 2022",cash
cust_1,t_43,salary,miscellaneous,86098.66,03/08/2024,upi
cust_1,t_44,health,clinic,1026.88,2022-05-22,cash
cust_1,t_45,salary,miscellaneous,42866.02,02/12/2022,upi
cust_1,t_46,health,spa,4620.35,22/05/2022,debit card
cust_1,t_47,entertainment,prime,2161.66,2022-10-31,upi
cust_1,t_48,salary,miscellaneous,61546.08,"May 22, 2023",credit card
cust_1,t_49,loan EMI Payment,education loan,3459.73,"Apr 19, 2023",upi
cust_1,t_50,utilities,electricity,2462.55,15/06/2022,credit card
cust_1,t_51,health,gym,1789.72,07/05/2024,upi
cust_1,t_52,utilities,gas,2554.41,11/10/2024,debit card
cust_1,t_53,others,others,820.93,26/07/2022,credit card
cust_1,t_54,entertainment,hotstar,2250.19,11/08/2024,debit card
cust_1,t_55,food and dining,cafes,788.67,2024-11-27,cash
cust_1,t_56,food and dining,swiggy,1193.03,21/11/2024,upi
cust_1,t_57,groceries,d-mart,1349.94,"Jan 06, 2025",cash
cust_1,t_58,salary,miscellaneous,84222.28,2022-05-21,cash
cust_1,t_59,entertainment,zee5,3957.26,12/07/2022,debit card
cust_1,t_60,utilities,telephone,374.12,10/10/2024,credit card
cust_1,t_61,others,others,2439.65,"Jan 27, 2024",debit card
cust_1,t_62,utilities,telephone,2396.34,2024-11-17,cash
cust_1,t_63,salary,miscellaneous,40715.13,15/07/2023,debit card
cust_1,t_64,loan EMI Payment,two wheeler loan,4721.34,"Jul 13, 2023",debit card
cust_1,t_65,entertainment,gaana,2528.99,2024-05-17,upi
cust_1,t_66,shopping,snapdeal,4996.37,"Dec 13, 2024",credit card
cust_1,t_67,entertainment,prime,3299.99,2025-02-09,debit card
cust_1,t_68,food and dining,fast food,1853.78,2023-12-29,credit card
cust_1,t_69,utilities,electricity,536.27,2022-11-02,upi
cust_1,t_70,others,others,491.28,2022-08-31,debit card
cust_1,t_71,insurance,health insurance,3343.94,20/06/2022,cash
cust_1,t_72,transfers,miscellaneous,3969.08,2023-06-27,upi
cust_1,t_73,salary,miscellaneous,73513.55,"May 04, 2022",upi
cust_1,t_74,salary,miscellaneous,35401.29,"Aug 22, 2024",cash
cust_1,t_75,entertainment,netflix,840.19,2023-04-08,cash
cust_1,t_76,food and dining,cafes,2590.17,10/09/2023,debit card
cust_1,t_77,loan EMI Payment,home loan,3871.42,01/12/2022,upi
cust_1,t_78,health,clinic,4562.99,25/12/2024,debit card
cust_1,t_79,shopping,jabong,3513.39,2024-09-12,cash
cust_1,t_80,loan EMI Payment,consumer durable loan,1769.47,2022-06-05,debit card
cust_1,t_81,utilities,telephone,434.13,22/06/2024,debit card
cust_1,t_82,food and dining,zomato,1530.49,"Dec 11, 2024",debit card
cust_1,t_83,insurance,travel insurance,4751.54,"Aug 11, 2022",upi
cust_1,t_84,shopping,myntra,1555.83,"May 23, 2023",cash
cust_1,t_85,loan EMI Payment,gold loan,2133.11,25/03/2024,debit card
cust_1,t_86,cash Withdrawals,miscellaneous,785.26,31/08/2023,debit card
cust_1,t_87,utilities,telephone,313.81,2023-12-22,cash
cust_1,t_88,groceries,bigbasket,3569.57,2022-04-21,cash
cust_1,t_89,insurance,vehicle insurance,3823.77,"Feb 20, 2024",cash
cust_2,t_1,loan EMI Payment,personal loan,960.52,22/11/2023,cash
cust_2,t_2,insurance,travel insurance,2547.94,07/09/2024,upi
cust_2,t_3,salary,miscellaneous,65891.18,2022-06-25,upi
cust_2,t_4,transfers,miscellaneous,2159.58,"Aug 26, 2023",cash
cust_2,t_5,food and dining,zomato,485.03,2022-09-01,upi
cust_2,t_6,health,spa,4401.35,2024-11-13,upi
cust_2,t_7,groceries,grofers,2030.4,"Jun 29, 2022",cash
cust_2,t_8,health,yoga,149.99,2024-12-14,cash
cust_2,t_9,loan EMI Payment,gold loan,1823.68,2022-10-13,cash
cust_2,t_10,health,clinic,433.83,26/07/2024,debit card
cust_2,t_11,transport,bus,2674.34,"Jun 08, 2023",cash
cust_2,t_12,loan EMI Payment,home loan,4655.84,"Aug 04, 2022",debit card
cust_2,t_13,salary,miscellaneous,81694.08,2025-01-22,upi
cust_2,t_14,cash Withdrawals,miscellaneous,1127.21,27/05/2024,cash
cust_2,t_15,others,others,4643.73,2023-12-07,upi
cust_2,t_16,cash Withdrawals,miscellaneous,2348.94,"Jan 05, 2024",upi
cust_2,t_17,utilities,electricity,3490.6,16/08/2024,credit card
cust_2,t_18,salary,miscellaneous,75592.34,"Apr 15, 2022",credit card
cust_2,t_19,cash Withdrawals,miscellaneous,3847.64,"Oct 01, 2022",debit card
cust_2,t_20,transfers,miscellaneous,2107.1,2022-02-19,upi
cust_2,t_21,utilities,broadband,1016.33,30/07/2022,credit card
cust_2,t_22,loan EMI Payment,personal loan,2308.26,"Aug 28, 2022",upi
cust_2,t_23,utilities,electricity,1538.25,2022-08-30,cash
cust_2,t_24,insurance,life insurance,1345.45,2022-03-14,upi
cust_2,t_25,entertainment,youtube,363.11,25/07/2023,credit card
cust_2,t_26,loan EMI Payment,personal loan,4940.98,"Aug 19, 2022",cash
cust_2,t_27,others,others,655.42,2024-05-22,upi
cust_2,t_28,transport,flight,3145.75,"Mar 30, 2024",debit card
cust_2,t_29,loan EMI Payment,personal loan,4533.05,"Mar 25, 2023",debit card
cust_2,t_30,groceries,grofers,1922.35,"Feb 12, 2025",credit card
cust_2,t_31,entertainment,prime,3447.85,2024-01-25,upi
cust_2,t_32,transfers,miscellaneous,3677.66,2023-07-29,credit card
cust_2,t_33,transfers,miscellaneous,4700.59,2023-10-08,cash
cust_2,t_34,cash Withdrawals,miscellaneous,2029.53,2022-07-01,cash
cust_2,t_35,transport,metro,3317.96,"Apr 08, 2022",debit card
cust_2,t_36,transport,metro,3418.84,"Jul 10, 2022",upi
cust_2,t_37,shopping,jabong,1752.69,02/01/2023,upi
cust_2,t_38,groceries,bigbasket,3629.54,"Dec 26, 2024",upi
cust_2,t_39,cash Withdrawals,miscellaneous,4081.7,"Nov 06, 2023",upi
cust_2,t_40,food and dining,fast food,4354.04,2022-12-14,debit card
cust_2,t_41,others,others,3557.67,2025-01-15,debit card
cust_2,t_42,others,others,2452.29,2024-07-29,debit card
cust_2,t_43,groceries,bigbasket,927.27,2023-11-04,cash
cust_2,t_44,entertainment,hotstar,4448.66,"Mar 27, 2023",upi
cust_2,t_45,shopping,myntra,1645.46,27/08/2024,upi
cust_2,t_46,shopping,myntra,1747.49,2024-08-14,upi
cust_2,t_47,groceries,d-mart,1928.71,2023-11-12,upi
cust_2,t_48,insurance,health insurance,2389.89,"Jul 09, 2023",cash
cust_2,t_49,insurance,travel insurance,3919.09,"Oct 27, 2023",upi
cust_2,t_50,transfers,miscellaneous,3278.02,09/08/2023,debit card
cust_2,t_51,insurance,health insurance,1641.18,2022-05-07,upi
cust_2,t_52,cash Withdrawals,miscellaneous,711.58,2022-12-01,upi
cust_2,t_53,health,gym,1686.33,2024-05-31,debit card
cust_2,t_54,transport,train,4344.73,2022-11-19,debit card
cust_2,t_55,utilities,electricity,4917.35,04/12/2022,cash
cust_2,t_56,transport,metro,3410.64,"May 06, 2022",debit card
cust_2,t_57,shopping,snapdeal,1207.35,22/12/2024,debit card
cust_2,t_58,entertainment,zee5,2246.57,13/02/2023,debit card
cust_2,t_59,transport,auto,4493.88,"May 27, 2023",debit card
cust_2,t_60,others,others,3598.93,"Jan 26, 2023",debit card
cust_2,t_61,entertainment,spotify,4256.66,2023-08-06,credit card
cust_2,t_62,transport,train,700.07,2022-12-04,cash
cust_2,t_63,insurance,life insurance,1270.54,"Jan 18, 2023",credit card
cust_2,t_64,entertainment,youtube,1248.73,2023-10-05,cash
cust_2,t_65,others,others,2489.17,"Oct 13, 2023",debit card
cust_2,t_66,loan EMI Payment,home loan,4444.43,"Jan 31, 2023",credit card
